Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,2.531206488609314,30.46712802768166,1.3155233785510063,36.86274509803922
2,1.356133705344648,33.23529411764706,1.3267296180129051,38.43137254901961
3,1.3702243606029954,32.62975778546713,1.2799430005252361,36.56862745098039
4,1.370761270681139,33.73702422145329,1.3230933286249638,33.62745098039216
5,1.3589661292608273,33.49480968858132,1.3457266055047512,32.84313725490196
6,1.3394022132810308,35.08650519031142,1.3357902728021145,35.09803921568627
7,1.3641733945403969,33.26989619377162,1.2789300717413425,37.15686274509804
8,1.341668719744814,34.23875432525952,1.3591039516031742,32.450980392156865
9,1.3326601580361634,34.44636678200692,1.3066371157765388,37.15686274509804
10,1.327295483805198,35.259515570934255,1.2976767010986805,35.294117647058826
11,1.329148372233902,35.121107266435985,1.3436296172440052,33.92156862745098
12,1.3071615057096955,35.93425605536332,1.282526221126318,34.411764705882355
