Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,3.0642339050440497,29.48096885813149,1.2989332638680935,36.27450980392157
2,1.3903490495945208,31.73010380622837,1.3064189665019512,36.56862745098039
3,1.346423414530675,33.44290657439446,1.2922453321516514,39.411764705882355
4,1.3796336552056159,32.82006920415225,1.2757155001163483,38.62745098039216
5,1.3495580109443455,34.705882352941174,1.3316239193081856,36.470588235294116
6,1.3317793126922945,35.207612456747405,1.3483749814331532,34.90196078431372
7,1.3152634201787454,35.397923875432525,1.3024979904294014,39.11764705882353
8,1.3214020156070014,36.36678200692042,1.2523372918367386,39.411764705882355
9,1.3036050216927713,36.5916955017301,1.247362807393074,40.68627450980392
10,1.2923124607096719,37.24913494809689,1.2521329261362553,41.37254901960784
11,1.2836919054800635,38.65051903114187,1.247617907822132,39.509803921568626
12,1.2824879683842316,38.667820069204154,1.24691217020154,39.11764705882353
13,1.2674654070185034,39.792387543252595,1.2296051792800426,39.509803921568626
14,1.266760375618276,38.92733564013841,1.2136062979698181,40.588235294117645
15,1.2609585246987105,41.02076124567474,1.2191338315606117,44.41176470588235
16,1.2499031641865304,40.778546712802765,1.2430411614477634,37.94117647058823
17,1.243101921529401,42.04152249134948,1.1833881009370089,46.666666666666664
18,1.2238973300101348,43.200692041522494,1.2086919285356998,43.333333333333336
19,1.2302344253708644,42.69896193771626,1.2099049873650074,44.31372549019608
20,1.2135996937093154,43.32179930795847,1.1978437416255474,41.568627450980394
21,1.2129472695002899,43.391003460207614,1.1806195676326752,45.294117647058826
22,1.1955022238894721,44.29065743944637,1.1698083076626062,46.07843137254902
23,1.1912469969269979,44.896193771626294,1.203121468424797,45.68627450980392
24,1.1997310222841757,45.27681660899654,1.2028567474335432,44.11764705882353
25,1.182993685342989,46.332179930795846,1.2784697711467743,42.15686274509804
26,1.1728870674391478,45.8477508650519,1.1687100492417812,44.70588235294118
27,1.165118436128395,46.69550173010381,1.1628642529249191,47.15686274509804
28,1.1502459447686844,48.13148788927336,1.1784102320671082,46.86274509803921
29,1.1478159200420697,47.88927335640138,1.1500938273966312,47.84313725490196
30,1.1330979351180692,48.702422145328725,1.25220687687397,43.8235294117647
31,1.1247626908576291,49.11764705882353,1.2201656736433506,46.372549019607845
32,1.122900808055098,49.16955017301038,1.1745805479586124,47.05882352941176
33,1.097294269345742,50.8477508650519,1.1609657909721136,47.549019607843135
34,1.0855370381260445,51.19377162629758,1.1579615864902735,46.96078431372549
35,1.072455332753408,52.00692041522491,1.152413984760642,48.627450980392155
36,1.0030252814951524,56.55709342560553,1.167505744844675,48.627450980392155
37,0.9823434863301271,56.55709342560553,1.165479788556695,49.2156862745098
38,0.9653256492720125,58.54671280276816,1.172820633277297,49.6078431372549
39,0.9698566577052543,57.975778546712796,1.171347750350833,49.11764705882353
40,0.9509900933471174,58.73702422145328,1.1787162870168686,48.529411764705884
41,0.9411401616934255,59.86159169550172,1.1868772432208061,47.35294117647059
42,0.9269131016994708,60.692041522491344,1.1836888249963522,47.45098039215686
43,0.9194419212762822,61.193771626297575,1.1894525177776814,48.03921568627451
44,0.9224685763127237,60.363321799307954,1.1845190469175577,47.84313725490196
45,0.9187902811482467,60.346020761245676,1.1869489252567291,48.72549019607843
46,0.9249818087941375,60.65743944636678,1.1832198649644852,48.431372549019606
47,0.921180180752475,59.896193771626294,1.1868419349193573,47.74509803921569
48,0.921329608938312,60.24221453287198,1.1830054260790348,48.72549019607843
