Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.434139160161519,26.418685121107266,1.378347534686327,33.82352941176471
2,1.4003651300187927,29.325259515570934,1.3568985648453236,35.490196078431374
3,1.3872005373074863,30.103806228373703,1.323474157601595,36.86274509803922
4,1.3696440287057865,32.24913494809689,1.3763650096952915,34.31372549019608
5,1.3720497380304073,32.17993079584775,1.2962822578847408,38.333333333333336
6,1.2735591537386015,40.69204152249135,1.2417625449597836,43.627450980392155
7,1.161618948641403,47.26643598615917,1.1451881751418114,48.529411764705884
8,1.0818430514625423,52.69896193771626,1.1383850779384375,48.431372549019606
9,1.023075891792445,56.22837370242214,1.2404621914029121,48.627450980392155
10,0.9624771897305441,59.79238754325259,1.139138137921691,52.74509803921569
11,0.8844446520120399,62.54325259515571,1.1502312794327736,51.27450980392156
12,0.8354840917481902,65.13840830449827,1.1226368229836226,52.254901960784316
13,0.7470770264198767,70.25951557093425,1.2845306042581797,51.37254901960784
14,0.660396085918279,73.71972318339101,1.2836775686591864,51.86274509803922
15,0.5861237258213001,77.61245674740485,1.275386156514287,53.431372549019606
16,0.5011112867797936,81.45328719723184,1.410223577171564,50.882352941176464
17,0.41842388950329457,84.49826989619376,1.6057190764695406,49.411764705882355
18,0.38707341056173017,85.58823529411764,1.6753860339522362,50.294117647058826
19,0.2311124607755993,92.8719723183391,1.4935572817921638,51.9607843137255
20,0.178788467706567,94.7923875432526,1.5116655137389898,53.529411764705884
21,0.1358949693732828,96.85121107266436,1.515855049714446,53.13725490196079
22,0.12177602909711184,97.21453287197231,1.559726676903665,52.64705882352941
23,0.10310029574973478,97.59515570934256,1.5893923360854387,51.9607843137255
24,0.09575248365573462,98.09688581314879,1.6071886103600264,52.450980392156865
25,0.08971293344682092,98.20069204152249,1.59684182330966,52.94117647058824
26,0.08747137225752706,97.9757785467128,1.5977568589150906,54.90196078431373
27,0.08647944754534993,98.21799307958477,1.607442306354642,53.333333333333336
28,0.08836297598250663,98.16608996539793,1.5906190872192383,54.01960784313725
29,0.08022770706502443,98.44290657439446,1.6163988672196865,52.450980392156865
30,0.08656103563242855,98.16608996539793,1.6080359434708953,54.31372549019608
31,0.08318841899873802,98.30449826989619,1.615770721808076,52.05882352941177
32,0.08360515633670006,98.21799307958477,1.6255704164505005,52.84313725490196
33,0.07493878651966047,98.54671280276817,1.6167151853442192,53.92156862745098
34,0.07797486132309252,98.32179930795849,1.643175920471549,52.74509803921569
35,0.07815805241177425,98.5121107266436,1.627871036529541,53.529411764705884
36,0.0757705803075548,98.46020761245676,1.6108939684927464,53.72549019607843
